id	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
CAMKK1	3.45971	3.52924	3.42519	3.33985	3.00947	3.55752	3.50832	3.68333	3.57847
SNRPD3	3.50321	3.5736	3.53456	3.5736	3.47053	3.66216	3.58859	3.53517	3.48241
NEO1	3.46986	3.44554	3.65315	3.6534	3.97759	3.62893	3.49414	3.36521	3.64942
VPS8	3.63335	3.51192	3.64662	3.53073	3.49414	3.48649	3.46635	3.49726	3.39521
CMIP	3.30954	3.46167	3.60546	3.44946	3.65864	3.56682	3.6083	3.62993	3.63938
CACNA1B	3.1774	3.31815	3.40678	3.3448	3.39228	3.27984	3.46003	3.49832	3.66247
HSPD1	3.55286	3.5746	3.73945	3.50259	4.02468	3.56104	3.20393	3.35669	3.41822
AFF4	3.48879	3.53162	3.51747	3.50649	3.69308	3.52254	3.45881	3.49466	3.52566
ACTL6B	3.46943	3.47168	3.53998	3.33033	2.87951	3.5656	3.60075	3.74357	3.45001
BCLAF1	3.59804	3.74302	3.42601	3.6041	3.12095	3.51547	3.46107	3.54059	3.42022
ENTPD4	3.59391	3.4308	3.68126	3.46708	3.60194	3.50468	3.22663	3.5746	3.37404
N_PAC	3.46383	3.52685	3.50204	3.46606	3.51702	3.44259	3.56475	3.58541	3.55072
NCKIPSD	3.44365	3.57002	3.55417	3.28506	3.35338	3.56025	3.57587	3.68953	3.50204
GABRA2	3.58209	3.68173	3.44722	3.53162	3.08476	3.7255	3.55286	3.58665	3.43936
SNORD113_4	3.92092	3.86242	3.61824	3.55852	2.85447	3.73475	2.97285	3.56882	3.71565
RBBP7	3.59862	3.6517	3.62452	3.53998	2.93562	3.54028	3.47648	3.57629	3.4829
MRPS23	3.67592	3.61872	3.47289	3.59446	2.73604	3.66513	3.52109	3.69872	3.34896
HNRPLL	3.65517	3.55072	3.64877	3.60546	3.15539	3.47648	3.5392	3.55112	3.46668
PLLP	3.69449	3.62993	3.47745	3.94744	2.93113	3.98239	4.05268	3.09607	3.56025
PITPNC1	3.31613	3.51412	3.30294	3.6282	4.06816	3.6534	3.5713	3.45723	3.71612
SYNPR	3.71049	3.74061	3.46759	3.52433	2.16953	3.53324	3.64729	3.94865	3.55389
CASC3	3.38811	3.2913	3.56025	3.49381	4.18489	3.29602	3.49991	3.3661	3.66094
AKAP9	3.39521	3.39585	3.45106	3.34731	3.53294	3.34836	3.3439	3.35609	3.41279
ATG4C	3.57794	3.38901	3.8096	3.74568	3.52486	3.6507	3.43026	3.25249	3.54934
CAMK1G	3.488	3.83273	3.58086	3.45652	2.6024	3.42293	3.62993	3.90011	3.22302
RALGDS	3.25382	3.09144	3.50531	3.70583	4.15895	3.5379	3.46914	3.40309	3.68442
CBX7	3.30448	3.43565	3.42629	3.35822	3.75167	3.51915	3.68864	3.59271	3.51029
RERE	3.34749	3.49956	3.44259	3.45106	3.75989	3.41941	3.65633	3.47233	3.56475
CD46	3.52924	3.6559	3.4685	3.88118	2.95137	3.69994	3.42069	3.51873	3.48419
TSR2	3.60767	3.71386	3.33787	3.55417	3.04352	3.50706	3.72231	3.63907	3.2105
LPHN1	3.2339	3.27472	3.50796	3.38079	3.94677	3.42006	3.53495	3.39801	3.70311
FAM130A2	3.72721	3.72276	3.53816	3.40871	2.74735	3.46409	3.32909	3.69685	3.33504
C20orf149	3.25665	3.55213	3.07594	3.46231	3.9842	3.89455	3.74529	3.31513	3.50321
PTPN5	3.4459	3.52048	3.35949	3.22517	2.98893	3.47369	3.59538	3.57543	3.47648
SFRS7	3.5448	3.48045	3.40109	3.55032	3.46409	3.45917	3.51384	3.45971	3.33313
PDCD10	3.73645	3.62737	3.41864	3.63716	3.13498	3.65927	3.50288	3.55238	3.37557
AP2A1	3.40435	3.40263	3.4975	3.42838	3.38838	3.50796	3.63335	3.63562	3.62253
PSMA1	3.72614	3.77117	3.62351	3.60981	2.74067	3.64441	3.48045	3.62175	3.31215
CDH2	3.46519	3.50531	3.49496	3.5253	3.58684	3.37281	3.47289	3.64239	3.53386
ABCA8	3.71004	3.09385	3.89388	3.51006	3.91706	3.32557	3.38875	3.09216	3.6716
KIAA0241	3.67448	3.65895	3.49041	3.48323	3.2552	3.50882	3.45587	3.67005	3.31769
15-Sep	3.64908	3.64699	3.3846	3.59961	2.77362	3.67681	3.69523	3.55286	3.46943
YPEL5	3.6347	3.53678	3.68173	3.48027	2.77066	3.55112	3.44628	3.78284	3.47405
IARS2	3.70475	3.64239	3.6941	3.54059	3.23319	3.55676	3.58178	3.61309	3.48207
PSD2	3.30018	3.03155	3.65895	3.53573	3.84923	3.29459	3.30109	2.98893	3.83851
CYC1	3.60981	3.44504	3.52223	3.49677	3.25789	3.48419	3.62092	3.63529	3.55315
CDC5L	3.62609	3.63166	3.51246	3.42808	3.21274	3.49041	3.44504	3.46059	3.31336
MRPS15	3.43845	3.49466	3.48829	3.36266	3.81344	3.49875	3.22874	3.54502	3.59103
WASL	3.68294	3.74796	3.6427	3.40701	3.10747	3.59538	3.363	3.68551	3.38197
ZNF25	3.77181	3.75366	3.45917	3.44809	2.82831	3.5448	3.43286	3.64162	3.42382
RPL10A	3.44222	3.22413	3.22302	3.45079	2.91424	3.34919	3.92147	3.68864	3.6572
NENF	3.49599	3.49677	3.28117	3.73423	3.8761	3.68294	3.81344	3.30928	3.51112
USP47	3.52048	3.46943	3.62609	3.5766	3.7922	3.50912	3.41025	3.41257	3.53678
TRMT11	3.48241	3.46914	3.28644	3.64773	3.35535	3.61549	3.58288	3.43845	3.35976
RBM9	3.6282	3.68333	3.50436	3.37729	3.16335	3.45534	3.3637	3.66925	3.42519
TCF12	3.33868	3.31469	3.63603	3.54583	3.94328	3.39134	3.51218	3.23892	3.61207
ASB3	3.53657	3.43165	3.51084	3.66216	3.56448	3.39729	3.51794	3.47994	3.51873
NUDT21	3.76643	3.78614	3.44095	3.50912	2.62974	3.58209	3.50733	3.70713	3.33868
STX7	3.66824	3.71113	3.65968	3.46003	3.16922	3.48162	3.48618	3.57092	3.49956
CTBP1	3.26352	3.34631	3.40212	3.31638	3.64482	3.29746	3.66925	3.60601	3.64908
GRLF1	3.35635	3.30729	3.60944	3.34436	4.14746	3.40926	3.42176	3.48649	3.63335
FAM168B	3.56882	3.58516	3.55919	3.48829	3.44554	3.46735	3.45652	3.6798	3.45269
ITSN1	3.43106	3.40483	3.58974	3.29724	3.76197	3.38811	3.3846	3.51547	3.47168
NOP5/NOP58	3.40069	3.52597	3.40348	3.63529	3.49337	3.59933	3.46034	3.36266	3.21316
RAD23B	3.62133	3.55676	3.56958	3.55919	3.49914	3.49914	3.48323	3.48569	3.41628
LIPA	3.83731	3.50759	3.94215	3.76159	3.29208	3.64162	3.66963	3.3324	3.70034
CMPK1	3.77556	3.55852	3.6083	3.66007	3.15124	3.42243	3.3242	3.51844	3.46442
MRPS5	3.52025	3.16233	3.66007	3.43962	3.72445	3.39353	3.2624	3.40034	3.43877
SEZ6L	3.4797	3.5106	3.66513	3.48389	3.1792	3.38258	3.50681	3.65791	3.52924
BMI1	3.65895	3.42097	3.71849	3.52025	3.79645	3.40755	3.31052	3.50912	3.52223
ATP6V1G1	3.47867	3.62253	3.37697	3.35895	3.20849	3.53235	3.5736	3.52191	3.43724
UBL7	3.36398	3.56636	3.64525	3.37479	3.38901	3.4975	3.49253	3.66387	3.3661
DAP3	3.54715	3.64202	3.42781	3.63976	3.42006	3.63495	3.54233	3.33079	3.39202
COPG2	3.64322	3.79085	3.58586	3.58178	2.99256	3.61207	3.44695	3.64079	3.38933
VPS35	3.70866	3.7141	3.6282	3.40926	2.87856	3.48498	3.46464	3.72032	3.30273
EFEMP1	3.43596	3.82791	2.8291	3.48162	4.11395	3.47585	3.82065	3.99256	3.29783
FAM163B	3.47135	3.46668	3.24914	3.14084	2.98358	3.33572	3.88852	3.84456	3.48498
ACOT7	3.40507	3.44441	3.68714	3.45619	2.90188	3.60767	3.52148	3.37281	3.46034
RAD50	3.38933	3.47015	3.48533	3.43565	3.50832	3.41257	3.38537	3.33572	3.36398
ILKAP	3.31447	3.43357	3.49991	3.60796	3.85406	3.46606	3.62253	3.34555	3.38079
STX8	3.48438	3.56958	3.53957	3.39353	3.35849	3.37652	3.44004	3.59658	3.42097
DDHD2	3.6867	3.69487	3.56419	3.58386	3.04756	3.5497	3.39706	3.55649	3.47585
B4GALNT4	2.94863	3.02842	3.21287	3.19006	3.93085	3.23546	3.13761	3.41628	3.73908
DOCK5	3.35371	3.15798	3.6507	3.68237	3.87809	3.21572	3.46342	2.98535	3.59623
WDR48	3.61122	3.61549	3.59538	3.55816	3.40483	3.44441	3.45079	3.55816	3.41941
TRIM8	3.06204	3.12831	3.5463	3.41257	4.23726	3.38378	3.36266	3.34896	3.69168
KIAA0652	3.55959	3.63495	3.50832	3.60328	3.49466	3.59066	3.48027	3.48946	3.55992
SRP54	3.74193	3.76159	3.4459	3.60676	3.20562	3.68378	3.55213	3.48354	3.36763
C17orf61	3.69083	3.56796	3.3991	3.76442	3.44504	3.71748	3.52363	3.41685	3.48569
NUP133	3.59583	3.60156	3.44441	3.62351	3.297	3.6517	3.61309	3.49414	3.4923
C1orf123	3.40997	3.44391	3.33714	3.52839	3.27388	3.60156	3.48241	3.65968	3.29539
MYEOV2	3.28771	3.72813	3.51659	3.38959	3.07016	3.37676	3.71508	3.73475	3.57629
NAP1L2	3.72156	3.75329	3.45757	3.18088	1.84939	3.53678	3.61233	3.7605	3.3257
RFWD2	3.56282	3.61122	3.42069	3.50365	3.32478	3.58386	3.48975	3.58241	3.46107
CCND2	3.63072	3.50468	3.20262	3.34868	3.30811	3.50365	3.6052	3.82498	3.48438
KBTBD11	3.49875	3.65218	3.4332	3.37088	3.58178	3.3587	3.51747	3.62855	3.52685
RANBP2	3.50204	3.41257	3.58541	3.36498	3.58241	3.35482	3.33714	3.56754	3.42897
IFITM1	2.81171	3.3587	2.82506	3.26869	3.20393	3.297	3.19336	2.90242	3.53355
PDE8B	3.41076	3.62046	3.343	3.44777	3.4134	3.47801	3.51702	3.52109	3.27617
GDA	3.77976	3.79402	3.41941	3.46167	1.82898	3.54851	3.47608	3.78497	3.28881
SRPR	3.55213	3.44289	3.57035	3.47801	3.42415	3.51637	3.34524	3.58516	3.40678
PGD	3.60194	3.54715	3.53714	3.41864	4.09214	3.58288	3.43534	3.53262	3.26949
COX6C	3.80229	3.7605	3.51384	3.4923	2.20403	3.78966	3.54349	3.58586	3.30395
TTBK2	3.6534	3.66182	3.63824	3.34056	3.37281	3.46779	3.35566	3.6268	3.39729
NRN1	3.83851	3.84821	3.18783	3.09964	2.17322	3.38045	3.4829	3.75701	3.17601
PODXL2	3.42601	3.44528	3.45428	3.49107	3.30249	3.63603	3.44062	3.5379	3.39826
PSPC1	3.29379	3.43653	3.34333	3.35449	3.42781	3.33101	3.42735	3.40369	3.45428
PKIA	3.59135	3.7776	3.5713	3.57321	2.88308	3.48045	3.4569	3.8654	3.40701
NUDC	3.40544	3.4975	3.59216	3.38618	3.81961	3.51192	3.36937	3.42243	3.22324
ETFA	3.45783	3.41365	3.51218	3.51702	2.96159	3.45511	3.56386	3.63375	3.58493
COL4A3BP	3.71778	3.69168	3.66424	3.39755	3.27075	3.39376	3.28186	3.67094	3.28275
SEC61G	3.76777	4.03303	3.32598	3.52889	2.32271	3.82262	3.55238	3.54934	3.07645
PHF10	3.5234	3.59834	3.58624	3.64348	4.03879	3.50126	3.15359	3.23439	3.31267
FAR1	3.62253	3.69685	3.52866	3.57543	3.24571	3.48713	3.63423	3.43244	3.49832
TTYH2	3.33352	3.28506	3.70663	3.87868	3.65436	3.5106	3.73645	2.98761	3.64847
C11orf41	3.4755	3.49914	3.63423	3.35048	3.15003	3.23892	3.352	3.77304	3.46003
TRAP1	3.47801	3.56919	3.49649	3.42871	3.34836	3.59216	3.46759	3.56209	3.41452
CPNE1	3.29642	3.40236	3.58424	3.5234	3.5415	3.40997	3.28008	3.1795	3.24721
CDK5R1	3.44259	3.40926	3.45511	3.39293	3.43473	3.46342	3.52315	3.67872	3.65561
IQGAP1	3.31573	3.16597	3.46914	3.43877	4.06895	3.33258	3.28568	2.96049	3.34413
C21orf34	3.32962	3.44907	3.22024	3.35482	3.78497	3.38985	3.33216	3.18511	3.48879
PNRC1	3.51915	3.70311	3.54179	3.44907	3.71894	3.51794	3.57432	3.52924	3.47441
ATP6V0E1	3.36521	3.33186	3.57724	3.67448	3.91487	3.57092	3.5895	3.24419	3.46759
VBP1	3.73993	3.67395	3.53517	3.48855	2.75477	3.57432	3.58784	3.59066	3.39855
CAMTA2	3.35949	3.35949	3.57794	3.3403	3.72584	3.43845	3.39353	3.48763	3.51006
CD164	3.68775	3.59135	3.57881	3.66182	3.23015	3.48588	3.53043	3.45757	3.62893
GFM1	3.60894	3.52109	3.49599	3.56682	3.11943	3.5561	3.53517	3.55179	3.45459
POLR2C	3.49285	3.60226	3.42243	3.45971	3.24334	3.52048	3.54934	3.74302	3.35184
C16orf13	3.37328	3.23839	3.51993	3.58784	3.51192	3.37501	3.64558	3.61982	3.47476
FH	3.74448	3.68442	3.47507	3.52315	2.62613	3.66051	3.46986	3.63335	3.36072
APPL1	3.54233	3.58025	3.55112	3.50509	3.46668	3.52433	3.44161	3.60156	3.46541
SEMA3B	3.35995	3.35535	3.25883	3.66925	3.53197	3.59834	3.77847	2.76924	3.31657
C19orf43	3.33572	3.3269	3.46383	3.42541	3.46034	3.27617	3.56958	3.56721	3.37697
AP1M1	3.25927	3.30141	3.47308	3.45723	3.33915	3.56475	3.59804	3.63867	3.55149
BCAN	3.04156	3.18545	3.32513	3.69083	4.03557	3.52148	3.68803	3.02866	3.66468
USP24	3.46577	3.47507	3.48323	3.51937	3.54233	3.35785	3.40571	3.38681	3.42491
RRAGD	3.60601	3.45942	3.48618	3.52957	3.47289	3.49193	3.43059	3.54996	3.40369
SCRG1	3.54502	3.92894	3.61744	3.39134	3.00726	3.5766	3.40309	3.60328	3.65137
NMT1	3.40236	3.32234	3.56282	3.41486	3.84157	3.36398	3.35151	3.63976	3.5253
NT5C3L	3.46635	3.51937	3.51274	3.35724	3.45269	3.25838	3.39101	3.45814	3.31168
NT5C2	3.343	3.41398	3.50649	3.4459	4.09693	3.363	3.38838	3.34631	3.43357
DECR1	3.46059	3.51873	3.36471	3.59623	3.53014	3.52924	3.55572	3.39134	3.27366
GOLGA7	3.72193	3.38148	3.45407	3.9157	3.16064	3.69685	3.78422	3.25789	3.43244
PPP5C	3.44877	3.44161	3.51937	3.41599	3.39441	3.37608	3.3621	3.49797	3.49414
MT1F	2.89899	3.19462	3.75098	3.69219	4.67592	3.04223	3.87868	2.99236	3.95052
PPP2R5D	3.53386	3.50085	3.51844	3.28771	3.38045	3.43357	3.41822	3.63603	3.48354
FADS1	3.83374	3.49337	3.29583	3.77807	3.53747	3.72445	3.53126	3.60442	3.57587
USP25	3.46003	3.48588	3.41239	3.42176	3.36788	3.49832	3.40871	3.44695	3.44667
ASPA	3.76674	3.59216	3.59006	3.70126	3.72156	3.72991	3.64322	2.97285	3.50861
HEXB	3.53456	3.59446	3.55852	3.33483	2.96933	3.26781	3.47209	3.65283	3.43412
PIAS1	3.48946	3.58929	3.31311	3.55879	3.45652	3.62737	3.40507	3.38148	3.40544
PDE4B	3.52988	3.40832	3.36937	3.64017	3.59505	3.53998	3.58824	3.42268	3.44222
LCMT1	3.6517	3.73908	3.46635	3.46059	3.13421	3.53714	3.31769	3.60295	3.27115
SNF1LK2	3.43187	3.46497	3.57092	3.44643	3.78541	3.35822	3.43187	3.53093	3.45232
VEGFB	2.9686	3.31743	3.33739	3.29283	4.31631	3.18236	3.44391	3.21274	3.58824
RUSC2	3.32003	3.35635	3.48121	3.37961	3.48588	3.44695	3.63303	3.57982	3.57881
CEP70	3.47233	3.35504	3.50982	3.48879	3.86089	3.45881	3.33662	3.40979	3.48713
CALCOCO2	3.20177	3.13084	3.43026	3.50882	4.07437	3.3403	3.22492	3.14251	3.4191
HERC4	3.57273	3.5379	3.5392	3.48649	3.59897	3.45459	3.39293	3.46914	3.46886
TSPAN13	3.68395	3.63824	3.57002	3.26801	1.97122	3.58516	3.60487	3.79044	3.45487
USF1	3.48389	3.48911	3.41599	3.32334	3.28852	3.38483	3.47827	3.47369	3.32533
SNX10	3.7776	3.71457	3.4626	3.21134	1.68574	3.43286	3.40654	3.77648	3.33601
SERGEF	3.44695	3.41731	3.48389	3.25927	3.39645	3.39679	3.48879	3.68478	3.46708
GLTSCR2	3.2935	3.40034	3.32935	3.42569	3.62205	3.37897	3.81158	3.42676	3.39645
NDUFC1	3.72494	3.5925	3.42928	3.52363	2.96291	3.71211	3.62655	3.46708	3.41864
FER	3.53678	3.37804	3.4191	3.40507	3.67341	3.51006	3.33601	3.35007	3.48045
C16orf5	3.32533	3.34731	3.53678	3.32935	3.68173	3.40309	3.55357	3.52363	3.41884
NDUFA6	3.52729	3.49649	3.46708	3.35566	3.10848	3.51084	3.38985	3.6572	3.33787
ACBD6	3.39855	3.488	3.29962	3.44036	3.64662	3.4134	3.42676	3.50649	3.34167
DPYSL3	3.40782	3.35895	3.46137	3.58493	3.98312	3.46209	3.61392	3.5448	3.69219
XPO6	3.49466	3.41822	3.38511	3.54851	3.48241	3.47261	3.4755	3.39465	3.44528
KIAA0494	3.5106	3.34804	3.50681	3.66849	3.84194	3.56919	3.49914	3.32293	3.61711
PIK3C2A	3.59538	3.40369	3.3403	3.64558	3.50396	3.65895	3.52866	3.20498	3.57692
HBXIP	3.57587	3.59354	3.46003	3.42097	3.07348	3.60328	3.53882	3.57002	3.09607
SFRS9	3.41365	3.50575	3.51966	3.58755	3.42735	3.3661	3.37697	3.4569	3.61982
JPH3	3.07262	3.16922	3.39547	3.16064	3.96951	3.31798	3.62351	3.50861	3.64109
COX7A1	3.06839	3.33868	3.34577	2.65842	3.09409	3.54785	3.92265	3.71386	3.30141
WRB	3.61744	3.55149	3.44777	3.51844	2.70686	3.5717	3.64525	3.6517	3.5354
IPO13	3.60487	3.27092	3.57388	3.64239	3.70166	3.67193	3.59862	3.15757	3.60722
DCXR	3.37572	3.34524	3.47772	3.2054	3.69004	3.51384	3.55992	3.6041	3.54502
HLA_B	2.75405	3.20498	2.62739	3.09118	2.82704	3.06966	3.60981	3.30312	3.45555
FAM153C	2.5891	2.69326	2.81643	3.0464	3.63031	3.22959	3.29042	2.61055	3.3324
SEC14L1	3.11914	3.24419	3.55725	3.35123	4.24429	3.25625	3.20351	3.39755	3.52866
ABCA3	3.29746	3.37356	3.54851	3.34276	3.54083	3.47405	3.45917	3.55725	3.5746
ABCA5	3.64419	3.87809	3.28823	3.4362	2.98778	3.70126	3.68378	3.46464	3.33033
SAPS1	2.88292	2.97397	3.42006	3.30681	4.19531	3.22284	3.34771	3.36579	3.601
NDUFB3	3.70545	3.68024	3.53635	3.48737	2.62476	3.55919	3.33258	3.48264	3.35048
PLXNB1	3.21859	2.93201	3.5062	3.51029	4.10181	3.43428	3.47994	2.88897	3.67564
MYO6	3.44528	3.40109	3.42213	3.64942	3.57794	3.59623	3.51112	3.27711	3.54117
GPR162	3.26826	3.26897	3.44062	3.25903	3.60944	3.39293	3.34651	3.63303	3.41534
SET	3.55072	3.51461	3.48045	3.65114	3.50912	3.45587	3.33934	3.37404	3.41257
ARFGEF2	3.55789	3.55544	3.56386	3.55649	3.15382	3.39441	3.3448	3.59354	3.488
PSMD13	3.48419	3.54277	3.30249	3.61207	2.89435	3.6548	3.41941	3.48829	3.12355
INF2	3.22465	2.85427	3.25198	3.19938	3.83273	3.42706	3.44777	2.83493	3.41096
ICA1	3.48649	3.62018	3.14759	3.32263	2.85652	3.52651	3.55852	3.51384	3.24094
RBL2	3.40292	3.4505	3.55752	3.6507	3.76674	3.39855	3.47692	3.33915	3.61595
SSR4	3.45881	3.36937	3.45942	3.56068	3.17493	3.6083	3.68714	3.51493	3.35785
NTRK3	3.25109	3.37439	3.33258	3.31573	3.73908	3.31743	3.3324	3.51523	3.51794
PCTK3	3.09785	2.54578	3.47902	3.46137	4.01374	3.18059	3.39465	2.59706	3.60194
SPCS1	3.60796	3.72494	3.21251	3.58288	3.04176	3.75585	3.54382	3.49533	3.12143
SDCCAG8	3.41534	3.37729	3.41365	3.32072	3.74061	3.30661	3.38588	3.35184	3.44877
GPR177	3.32293	3.65633	3.35692	3.6798	3.84396	3.47015	3.68126	3.52282	3.64239
TRPC4AP	3.38403	3.50681	3.45723	3.55789	3.44259	3.4626	3.51659	3.44877	3.47369
ME3	3.44391	3.34651	3.32142	3.31191	3.06552	3.35692	3.48588	3.51637	3.44391
DICER1	3.58929	3.44946	3.44466	3.62855	3.37608	3.53882	3.46735	3.29459	3.50396
EXOC1	3.57002	3.54117	3.41452	3.53294	3.1814	3.63423	3.56173	3.4475	3.38378
PITPNA	3.54277	3.6041	3.50575	3.34896	3.31311	3.53162	3.33058	3.59771	3.35949
NPC1	3.69308	3.33504	3.77936	3.82451	3.6704	3.55149	3.6559	3.15067	3.62524
KHSRP	3.37378	3.39498	3.59933	3.51384	3.69168	3.51154	3.41599	3.37572	3.43286
MRPL51	3.49381	3.54785	3.46519	3.41884	3.41969	3.42415	3.45232	3.49677	3.38439
SAFB2	3.02897	3.13053	3.40187	3.2935	4.10844	2.9942	3.03131	3.01922	3.27388
NONO	3.50575	3.52889	3.48649	3.49599	3.43685	3.47938	3.43653	3.40544	3.40507
PPIA	3.57753	3.50288	3.47325	3.46107	2.46491	3.45269	3.58464	3.6282	3.44777
ENDOD1	3.7374	3.39613	3.56209	3.66094	3.37126	3.61786	3.59066	3.35031	3.49466
RAMP1	2.91544	3.2313	3.37404	3.5751	3.76394	3.3257	3.77507	3.47692	3.73559
FBXO21	3.55112	3.6278	3.46577	3.49797	3.00417	3.43596	3.38219	3.53882	3.34651
CEP192	3.35048	3.25043	3.50321	3.56386	3.87656	3.43026	3.31743	3.26923	3.31937
LNPEP	3.64773	3.555	3.59804	3.47015	3.35419	3.45293	3.39257	3.49599	3.37961
PDK4	2.97454	3.35482	3.99921	3.69449	3.97807	2.53411	3.03277	3.16757	3.61044
SLC4A4	3.28933	3.14436	3.13032	3.42022	3.52812	3.57903	3.78029	3.23463	3.64773
ARHGDIA	3.2866	3.33058	3.36637	3.3993	3.4797	3.50531	3.72353	3.51274	3.51218
ACACA	3.62403	3.37572	3.68478	3.35151	3.51993	3.30044	3.39613	3.55789	3.52957
CCDC91	3.54414	3.59933	3.4381	3.31769	3.43106	3.4191	3.45723	3.38027	3.29555
AHCYL2	3.33953	3.27308	3.5415	3.46735	3.90361	3.30954	3.37897	3.39376	3.58333
OLFM2	3.08536	3.08303	3.37003	3.12831	3.86829	3.36883	3.53845	3.18877	3.71141
LSM4	3.50649	3.49005	3.44318	3.36182	3.28442	3.4923	3.59771	3.50126	3.38811
SNORD115_34	3.073	3.55649	3.22124	3.44865	3.47867	3.35949	3.05217	3.59216	3.69083
GRM5	3.43244	3.45723	3.49337	3.33537	2.91353	3.36521	3.35949	3.59961	3.42601
PARN	3.56173	3.49381	3.34593	3.39376	3.57847	3.51601	3.55032	3.38811	3.29642
FAM14A	3.46668	3.58209	3.5766	3.68864	3.86055	3.51412	3.67128	3.24334	2.94302
ARD1A	3.29459	3.25645	3.37897	3.28303	3.71938	3.34577	3.34577	3.30332	3.42415
MOCS2	3.61233	3.73559	3.58134	3.46342	2.87212	3.4685	3.33889	3.62046	3.32451
GMPS	3.67067	3.51274	3.48241	3.47261	3.25645	3.48264	3.40369	3.49073	3.29937
BCAS2	3.71987	3.69915	3.29428	3.47079	2.94084	3.68126	3.51461	3.53747	3.05902
SC4MOL	3.83967	3.07037	3.70166	3.42676	3.15987	3.83731	3.72193	3.51192	3.3403
TMEM205	3.49073	3.19144	3.33123	3.36329	3.47675	3.41769	3.42146	3.42146	3.58624
IPW	3.20329	3.42491	3.39318	3.3991	3.03679	3.34108	3.5766	3.64942	4.03078
LSS	3.45347	2.9872	3.52759	3.30395	3.92092	3.33662	3.43498	3.23087	3.5925
RY1	3.51844	3.63867	3.38901	3.51747	3.22898	3.6092	3.40636	3.45195	3.2866
C11orf2	3.2777	3.31009	3.32202	3.38197	3.25819	3.34222	3.62488	3.60075	3.61122
GRIA1	3.43059	3.45106	3.47441	3.3269	2.77771	3.26116	3.3876	3.59042	3.34222
TRAM1	3.47476	3.55752	3.42293	3.63603	3.4475	3.57847	3.62133	3.38219	3.5445
SLC12A2	3.73831	3.43412	3.64202	3.67395	3.27283	3.62855	3.48533	3.28355	3.44466
ANO5	3.61266	3.55112	3.63976	3.38985	3.12966	3.54548	3.37501	3.57794	3.40997
LTA4H	3.60627	3.58134	3.49381	3.49991	3.30587	3.50649	3.40348	3.53456	3.31839
PIK3CA	3.57982	3.57903	3.56475	3.48946	3.39015	3.39228	3.31685	3.54382	3.41154
PHKB	3.38483	3.33714	3.57753	3.50204	3.52191	3.35635	3.38439	3.50365	3.42735
TMOD1	3.202	3.56721	3.38564	3.28999	3.15489	3.45942	3.49073	3.26116	3.48466
SLC6A17	3.58025	3.63562	3.27869	3.19107	2.84401	3.53073	3.57321	3.65633	3.38175
FLJ20160	3.61711	3.47608	3.58057	3.41217	3.003	3.54117	3.39521	3.61087	3.48323
DPP10	3.67094	3.49599	3.36763	3.5448	2.57188	3.55544	3.41309	3.61431	3.43106
DOPEY1	3.53126	3.54548	3.27408	3.59771	3.13552	3.55816	3.53573	3.34276	3.36329
NBL1	3.30501	3.46209	3.35031	3.18733	3.57273	3.27216	3.49381	3.40571	3.33766
CAPN2	3.27283	3.21811	3.46442	3.36883	3.77936	3.28592	3.40435	3.11273	3.5631
SEC31A	3.49797	3.51915	3.48975	3.46668	3.49496	3.54934	3.37088	3.49515	3.33842
STT3B	3.61982	3.6704	3.46034	3.59996	3.22324	3.53845	3.37064	3.42601	3.44124
PGM2L1	3.73115	3.67747	3.57543	3.43534	1.89588	3.44222	3.43428	3.70914	3.25625
CCDC82	3.32991	3.42676	3.18073	3.39679	3.43653	3.37126	3.57092	3.24571	3.45917
MRPS35	3.67912	3.59897	3.36449	3.43106	3.22719	3.5713	3.52812	3.49253	3.25138
CXorf39	3.60295	3.60944	3.49569	3.48498	3.35081	3.49414	3.40782	3.56796	3.38875
RPS6KC1	3.45534	3.52315	3.41534	3.42243	3.27741	3.42054	3.49569	3.50436	3.40895
SNORD115_15	3.50861	3.6798	3.35566	3.35785	2.81999	3.4061	3.48419	3.77117	3.92208
SYT13	3.58464	3.67843	3.52812	3.17753	2.55787	3.36095	3.34896	3.71809	3.26168
CRYL1	3.40571	3.26168	3.27216	3.60379	3.05385	3.59042	3.77011	3.45783	3.67341
GPR98	2.90543	3.2197	3.28325	3.43685	4.1271	3.31267	3.47168	3.43165	3.69818
DCTN5	3.51794	3.53355	3.56531	3.44222	3.42382	3.35371	3.37676	3.55919	3.42706
SSRP1	3.35535	3.47692	3.47079	3.36471	3.65828	3.4475	3.42987	3.40782	3.40152
KIAA1033	3.59996	3.46034	3.5717	3.58333	3.52389	3.55725	3.50861	3.38378	3.31798
UHMK1	3.62046	3.53294	3.61152	3.29746	2.9954	3.40152	3.34139	3.66147	3.28795
UBAP2L	3.33739	3.40187	3.3448	3.46309	3.64382	3.45428	3.45619	3.36095	3.3269
CTNND1	3.35609	3.38588	3.33953	3.44189	3.60295	3.43724	3.49677	3.33537	3.51601
STAU1	3.41769	3.4061	3.555	3.48588	3.56145	3.51702	3.32293	3.47289	3.47801
ENSA	3.51112	3.36712	3.49434	3.35995	3.25883	3.35031	3.32202	3.4685	3.37146
USP46	3.50832	3.41534	3.49726	3.33464	3.75585	3.34413	3.31232	3.5415	3.45652
