id	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
RAB7A	4.05593	3.12355	3.99183	4.07185	3.97319	4.19438	3.92355	4.00794	3.92147	4.0785	4.05685	4.08302	4.08721	4.10484	4.10181	4.03686	4.10721
GLUD1	4.0914	3.289	4.14212	3.72231	4.26817	3.75451	3.91706	3.97281	4.04866	4.01306	3.87552	4.29732	3.97319	4.17329	4.17066	3.97377	4.16165
SCHIP1	4.19267	3.59623	3.76354	4.00063	3.54382	3.96902	4.20523	4.23726	4.19195	4.06816	4.05074	4.1271	3.45376	4.13317	4.09596	3.99762	3.97152
INPP4A	3.95941	4.07055	4.09214	4.10002	3.24744	4.15798	4.12771	4.14894	4.03618	4.05685	4.08302	3.89787	3.82939	3.92092	3.88184	4.17805	3.99089
AHI1	4.0439	5.07231	4.2851	3.84396	3.64908	3.50649	3.66216	3.84103	3.81905	4.05327	3.60295	4.1234	3.52924	3.96447	4.08028	3.73873	3.96447
AKAP6	4.02536	3.94865	4.01374	4.10753	3.47209	4.05268	4.14614	4.09425	4.19787	4.07779	4.01719	3.98239	3.61392	4.05268	3.97632	4.05967	3.97881
SDHA	3.91839	3.73801	3.97691	4.08847	3.64162	4.19365	4.21022	4.24901	3.82317	3.90932	4.1256	4.03618	3.42954	4.19267	3.98754	4.16541	4.01483
HDGFRP3	4.06243	3.32026	3.98077	4.06895	3.93986	4.03823	4.22625	4.14113	4.08436	4.10484	3.90892	4.01002	3.92355	4.02468	3.88486	4.09281	4.0124
THOC7	4.17609	3.78839	3.94267	4.10378	3.71809	4.05896	4.18165	4.06099	4.16002	4.13608	4.06389	3.93632	3.77455	4.00204	3.90892	4.02536	3.7969
B3GAT1	3.79974	4.34515	4.11528	3.99183	4.49228	3.60796	3.73507	3.7605	3.70968	3.65283	4.06586	3.93085	4.6093	3.78422	3.98352	3.85054	4.10971
SNORD116_21	4.1751	3.85823	4.25618	4.09067	3.71748	4.26201	4.12471	4.12771	4.03823	4.1271	3.60194	3.94387	4.15651	3.96523	1.64426	4.10639	4.07643
FKBP4	3.99491	3.49599	3.9956	4.25994	4.36768	3.86448	4.06656	3.70663	4.01719	3.84396	4.36213	3.75842	4.43173	3.85951	3.71171	3.95179	3.92449
FXR1	3.96447	3.98691	3.94744	4.08649	4.55431	3.68615	3.76442	3.6534	4.01946	3.96191	4.19108	3.96818	4.47293	3.96587	3.76746	3.79854	3.93921
PLCB1	3.87868	4.31928	4.03041	4.07534	3.10901	3.97807	4.38656	4.24297	4.1713	4.08649	4.0403	3.82414	3.28117	3.86303	3.72386	4.18558	3.85653
ATP1B2	3.70583	3.45723	4.23463	3.63716	4.64302	3.38511	3.83851	3.7374	3.51029	3.80522	3.80229	4.07055	4.50925	4.57281	3.96191	3.85463	4.19014
DAD1	4.00647	3.75167	3.73198	4.10721	4.24617	4.24983	3.9157	3.72032	4.03117	3.99089	4.02718	4.06656	4.05074	3.963	4.06656	3.91069	4.10307
PHYHIPL	4.02848	2.8654	3.90161	3.95487	3.96818	4.06656	4.16645	3.95941	4.07701	4.1176	4.09281	4.10181	3.67193	4.1167	4.15494	4.03078	4.10574
EIF3EIP	4.00137	3.48588	3.97022	4.11318	4.06243	3.93453	3.91373	4.05466	4.15184	4.24297	3.98531	4.02468	3.58929	4.11843	4.03557	4.07779	3.91195
SNORD116_24	4.33039	3.03408	4.38556	3.86448	3.81961	3.30709	3.76973	4.0785	4.14894	4.30306	3.88594	4.03686	4.24791	4.0124	3.8063	3.86997	4.22849
SUGT1	3.97759	3.44777	3.86134	3.98169	4.40054	3.87058	3.95001	3.78914	4.0785	4.10002	4.16645	4.0439	4.34313	4.07779	3.96402	3.87407	3.76115
SLC3A1	4.12122	2.36675	3.83967	3.83851	2.87554	4.31022	4.39334	4.34423	4.35728	4.37841	3.99018	3.73945	2.70963	3.98943	3.84194	4.34313	3.802
SPECC1	4.01115	4.82173	3.97807	4.00204	4.4085	3.53073	3.60722	3.76595	3.72774	3.74687	3.93239	3.85054	4.37613	3.92449	3.88246	3.74742	4.06586
DDAH1	4.00063	2.81484	4.13542	3.8306	3.9492	3.9605	4.01374	4.05967	4.0124	3.98239	3.98629	4.12271	3.7374	4.24297	4.06503	4.13495	4.16871
NDUFS3	4.01946	3.36266	3.86055	4.1527	3.46519	4.14113	4.21973	4.17329	4.1808	4.14746	4.12055	3.97932	3.29153	4.05011	3.9956	4.05896	3.93043
TBCB	4.04795	3.43357	3.75756	4.00537	3.68803	4.1256	4.14113	4.11471	3.90361	3.85054	3.97632	4.06044	3.73354	4.04458	4.32042	4.13053	4.11096
PLEKHH1	3.94387	5.12915	3.75234	3.73945	4.109	2.68115	3.53093	3.40979	3.91253	3.80057	3.96659	4.27671	4.10484	4.06298	4.19108	3.42069	3.93362
NEK7	3.97932	3.5001	3.84656	3.96587	4.75626	3.49041	3.79498	3.53043	3.91137	3.59538	3.8063	4.34423	4.51307	4.0403	4.16002	3.71849	3.9492
NLK	3.97187	3.34524	4.10721	4.12647	3.61018	4.04458	4.24297	4.06816	4.14746	4.03041	4.01836	3.91069	3.77648	4.03078	3.88636	4.13403	3.92636
AZIN1	4.01002	2.9554	3.71171	3.79171	3.71305	4.19787	4.24003	4.24617	4.21752	4.1724	3.97469	4.04795	3.60075	3.98488	3.9588	4.22351	3.86829
ABBA_1	3.44528	4.55094	3.94049	3.97377	4.88993	3.14916	3.52866	3.50039	3.22492	3.20636	3.91839	3.64382	5.06174	3.50982	3.83273	3.49381	4.13853
MPDZ	3.94267	4.66831	4.02426	4.01483	4.37486	3.60039	3.75329	3.70126	3.89059	3.71849	3.99089	3.94328	4.34078	3.82992	3.88118	3.83562	3.96246
CAMSAP1L1	4.03618	3.47053	3.91373	3.93453	3.86448	4.14065	4.07701	4.19195	4.13221	4.12888	4.01115	3.95552	3.75805	3.97881	3.83967	4.07643	3.92747
SPOCK3	4.17066	2.9561	3.52048	3.95275	3.93291	3.82317	3.97972	3.90011	4.24526	4.02338	4.39237	4.30165	3.52597	4.13714	4.06389	3.77889	4.16445
LOC653314	3.8761	3.91967	3.92636	3.98531	4.25317	4.40917	3.90428	3.75167	3.71565	3.62939	3.73041	3.81688	4.19195	3.94267	4.23576	3.88331	4.25317
ARRB1	4.09281	3.91195	4.07534	4.06099	4.13317	3.8178	3.92998	4.04196	3.68714	3.78839	4.01782	3.95052	4.31133	3.76024	4.02662	3.88486	4.13403
HNRNPC	4.09425	3.1533	3.89205	4.16358	4.21752	4.09425	3.96951	3.96818	4.1392	4.00855	4.1176	4.05967	3.93119	4.03303	3.77807	3.95275	3.82175
NAP1L4	3.90629	4.19108	3.963	4.06389	4.30935	3.70663	3.79085	3.77807	3.97551	3.94865	4.06099	4.00361	4.32165	3.95052	3.92208	3.77362	3.96818
DGKB	4.07125	3.39855	4.21322	4.04637	3.63562	4.24791	4.14552	4.19438	4.11318	3.96951	3.87656	3.62205	3.55919	3.84923	3.98031	4.15048	3.97281
SPTBN2	3.92998	4.37322	4.2918	3.91839	3.45459	3.72156	4.02536	4.20422	3.78914	3.79354	3.93291	3.8096	3.97084	3.90205	4.0785	4.02932	4.10484
RPL37	3.99988	3.04113	4.28913	4.04795	4.50473	3.41969	3.73325	3.52889	4.08366	4.11593	3.8761	4.29951	4.22776	4.18393	4.01719	3.80229	3.70808
HNRNPUL2	3.963	3.92998	4.16871	4.00647	3.97084	3.8843	3.83477	3.92355	3.82791	4.11843	4.13221	3.92449	4.14821	3.98531	3.9349	3.98531	3.91253
FYN	3.93632	3.88118	3.9349	3.84776	4.34721	3.802	3.81213	3.85764	3.74941	3.81294	3.89059	3.9588	4.5759	3.93632	4.03078	3.91195	4.05011
ATP6V1H	4.24617	2.83816	3.88594	4.03172	3.01261	4.25317	4.17609	4.34609	4.08508	4.11272	4.04458	3.88246	2.7928	3.97932	3.98531	4.2181	3.97972
GRAMD1B	3.89388	4.52456	4.13495	4.03078	3.43498	3.94795	3.99921	4.054	3.89731	3.87407	4.03078	3.75948	4.06586	3.84396	3.85114	4.03949	3.93862
SYN2	4.27334	3.15489	4.01836	4.13317	2.53984	4.18929	4.25396	4.26148	4.0439	4.02426	4.09775	3.99256	3.27869	3.94603	3.86617	4.14552	3.8687
SNRPD2	3.98031	3.28416	3.97972	4.1713	3.63375	4.15494	4.22144	3.9956	4.00204	3.98031	3.79645	4.02848	3.77889	4.13495	4.08576	4.03557	3.91437
PDXK	3.92636	3.92946	4.18165	3.87058	4.10753	4.019	3.91652	4.00647	3.73325	3.85463	3.86617	3.79044	4.15184	3.88737	4.01569	4.03879	4.22351
MAN1A2	4.02468	3.45195	4.19014	4.18305	3.9157	3.99297	4.04682	3.99627	3.98031	3.97152	3.81633	3.84871	4.02608	3.97281	3.97972	4.0439	3.96078
TACC1	3.98488	3.70583	3.93812	3.90205	4.31704	3.89829	3.98077	3.99844	3.98881	3.93085	3.95828	4.01719	4.019	3.97551	3.91373	3.97632	4.0403
ACTN4	3.81242	4.6895	4.03366	4.06243	4.28423	3.53456	3.71508	3.66824	3.6798	3.69219	3.98754	3.78315	4.28423	4.01306	4.054	3.88118	4.04928
KPNB1	3.98312	3.41731	3.93239	4.04304	3.97972	4.06503	3.98239	4.02718	3.99762	4.06895	4.0439	3.97022	3.91437	4.01569	3.95275	4.06951	3.94139
WASF1	3.99921	3.98754	3.96123	3.85508	2.97662	4.01946	4.19014	4.30709	4.15798	4.19787	3.8726	3.92265	3.18444	4.04682	3.89731	4.09493	3.88184
RCN2	4.01639	3.51493	3.88331	3.98031	3.67484	3.99627	4.05525	4.2122	4.17973	4.14969	3.94744	4.12771	3.24986	4.14614	3.86687	4.04928	3.8306
DPP6	4.19014	3.97084	4.14894	4.0439	3.18964	4.07701	4.13853	4.1751	4.07534	4.01176	4.04637	3.71004	3.36685	3.82743	3.90428	4.12471	3.75366
UBR3	4.05327	3.61087	3.97152	4.01569	3.89275	3.89731	4.03041	4.05593	4.11096	4.07701	4.05822	4.05525	3.71565	4.00647	3.88892	4.01115	3.87868
STARD7	3.89829	2.95114	3.86089	4.10307	4.07779	4.03117	3.99988	4.06895	4.05749	3.98488	4.13608	4.07185	3.94865	3.90629	3.89455	4.01639	4.07534
MYO18A	3.69994	5.05197	3.91137	3.90161	4.24689	3.41217	3.60194	3.61744	3.61549	3.53495	3.86405	3.96402	4.34515	3.78884	3.94049	3.70126	4.04304
STRAP	3.98352	2.84514	3.76856	4.03041	3.86617	3.93812	4.1239	4.10002	4.227	4.22922	4.14212	4.01374	3.54414	4.04637	3.87716	4.13853	3.80428
DNER	4.10002	2.79785	3.68442	3.80902	3.88892	4.10574	4.04304	3.98077	4.10083	4.14466	4.16541	4.15494	3.69523	4.15651	4.03686	3.90574	3.98629
KLHDC2	3.94744	3.33889	3.7231	4.16541	3.75627	4.04507	4.10307	4.04866	4.12197	4.18929	4.00855	3.99844	3.74448	3.96951	3.89115	4.06099	3.96402
MADD	3.98531	4.17882	4.05466	4.05593	3.61521	4.01719	4.05183	4.09928	3.92355	3.92815	4.06656	3.83923	3.72721	3.88852	3.88678	4.06724	3.90574
SNORD116_14	4.35728	3.0344	4.26719	4.24791	3.57092	3.35081	3.77011	3.86909	4.1399	4.33341	3.93119	4.13608	3.63166	4.05183	3.9574	3.97807	3.82874
MAPK8IP3	3.95445	4.46285	4.15722	4.054	3.65283	3.65895	3.90161	3.97691	3.79923	3.82175	3.87809	3.80428	3.92035	3.95374	4.06298	4.06895	4.08178
PSMC3	4.03078	3.40654	3.93986	3.99921	3.73354	3.98581	4.18622	4.20321	4.0226	4.05967	3.88852	3.92747	3.51966	3.95671	4.07534	4.10181	3.93747
CNKSR2	3.91706	3.75487	4.10307	4.22223	2.93152	4.09493	4.1167	4.109	4.019	4.02193	4.05327	3.97881	3.43534	3.9492	3.84871	4.15651	3.93986
MYH10	3.95374	4.23576	4.12991	4.01306	3.50882	3.88246	4.11318	4.14552	3.95052	3.94529	3.91652	3.87966	3.70126	3.89731	3.85508	4.05183	3.94795
LPAR1	3.90161	3.64017	3.67564	3.82551	4.80604	2.8704	3.73115	3.37378	3.86733	3.64322	4.00063	4.33039	4.52296	4.13124	4.15425	3.34651	4.03823
GABRB2	3.99762	2.74237	3.93453	3.96246	2.43457	4.3555	4.3891	4.27019	4.19108	4.16961	4.0071	3.84456	2.95265	3.93812	3.85463	4.23726	3.84971
RCAN2	4.10753	2.86961	4.01054	4.02193	2.64446	4.25117	4.23147	4.16096	4.25618	4.17066	4.21884	3.76024	2.97866	3.9588	3.84776	4.16871	3.83273
NEFM	3.8529	3.93747	4.25117	4.08888	2.6137	3.87212	3.95121	4.08028	3.98239	4.03879	4.30935	3.66759	3.54059	4.14746	3.91253	3.97319	4.13221
PFKFB3	3.68173	4.82412	3.83165	3.78081	4.1239	3.76828	3.63867	3.46817	3.61872	3.68395	3.81538	4.08721	4.33997	4.01115	3.903	3.90244	4.29235
NDUFV1	3.84456	3.97319	3.88067	4.05525	3.46635	4.08649	4.15425	4.20097	3.97932	3.98312	3.92557	3.90361	3.36521	3.9941	3.9605	4.14212	3.96523
GRIA3	4.1271	4.28621	4.16297	3.98239	2.97269	3.97281	4.14065	4.08229	3.99361	4.07125	3.92147	3.8687	3.31215	3.88925	3.82414	4.09067	3.82498
RAB5B	3.99018	2.83075	3.91967	4.02468	3.95275	4.00361	4.03417	4.04458	4.03949	4.02468	3.99762	3.90892	4.11953	3.93043	3.99921	4.06503	4.01115
RABEP1	3.90698	4.04866	3.93632	3.95987	4.1392	3.86496	4.00855	3.97932	3.95552	3.95052	4.02848	4.0071	4.13124	3.84157	3.86943	3.88786	3.88786
GOLIM4	3.73993	4.34423	4.09596	3.77087	4.56714	3.33216	3.61899	3.57035	3.88067	3.82414	3.69994	3.98352	4.56046	4.0043	3.93085	3.73831	4.03366
TMEM59	4.14552	2.5256	3.74837	3.97691	3.94049	4.07125	4.02662	3.94603	4.14614	4.16541	4.0878	4.0878	3.59961	4.06951	4.00647	3.99694	3.86018
PADI2	3.63603	4.2804	3.85508	3.61431	4.48676	3.17476	3.84923	3.6798	4.03879	3.77807	3.92449	4.19014	3.98239	4.18558	4.2804	3.60627	4.14894
PPP2R4	3.97084	3.33258	3.89634	4.06187	3.63031	4.14552	4.19108	4.11318	3.96347	3.94677	3.95987	3.84103	3.8726	4.04304	3.96755	4.11953	3.83923
FAM128B	3.76674	3.73423	3.77011	3.82065	3.66513	4.26719	4.08178	4.08847	3.76442	3.87922	3.74061	3.87809	3.85114	3.90932	4.30558	4.21752	4.12197
SERPINA3	4.38556	1.29294	2.05574	2.2305	3.91195	5.04155	1.64977	2.05284	2.75243	3.71612	2.35175	3.82221	4.96088	4.52592	3.37652	5.16549	3.16391
GABBR2	4.04247	3.94267	4.08178	4.14376	2.90812	3.89787	4.23463	4.23378	3.95179	3.98629	3.98031	3.74477	3.6891	3.86018	3.79085	4.1167	3.89205
ZMYND11	3.96523	4.0124	3.94387	3.94603	4.19825	3.6798	3.91487	4.00537	3.94865	3.91706	3.9492	4.01569	4.08962	3.92208	3.89205	3.84821	4.00929
A2BP1	4.0027	3.66147	4.12647	4.14299	2.51604	4.02932	4.16961	4.16297	4.04795	4.16789	3.89584	3.73993	3.18964	3.99844	3.95671	4.16002	3.88852
AMPH	4.16645	3.67718	4.04795	4.17437	2.82734	4.14212	3.94482	4.21105	4.02338	4.0277	4.09021	3.79274	3.06862	3.94328	3.84656	4.20097	3.86188
GRINA	3.88288	3.57982	4.0914	3.92946	3.76394	3.94328	3.92092	4.09596	3.83562	3.88594	3.96902	3.9574	4.23645	3.98629	4.04304	3.98312	3.92092
ANAPC5	4.05466	4.17329	3.74302	4.04507	3.98831	3.74193	3.89205	3.94215	3.99844	3.97377	3.93362	4.10639	3.81391	3.99762	3.97281	3.85698	3.90161
KIAA1797	4.08962	3.56448	4.06099	4.10971	3.51084	3.92494	4.06724	4.00063	4.0027	3.90629	4.1239	3.88786	3.80522	3.91771	3.82364	4.09928	3.9842
VPS4A	3.84821	3.69266	3.92302	3.98488	3.70475	3.96951	4.01002	4.01115	3.88678	3.95617	3.93986	3.83803	4.09928	3.94139	4.01483	4.12771	4.08436
C8orf46	4.09596	3.19938	3.8306	3.89915	3.77209	4.30935	4.05967	4.2139	3.95671	3.92636	4.05011	3.95941	3.74742	3.75805	3.95374	4.04196	3.89829
PAM	4.11843	2.95163	3.87212	4.06656	3.67395	4.27793	4.12647	4.13053	4.12991	4.16871	3.97932	3.78374	3.32142	3.97187	3.78374	4.13124	3.62993
C20orf199	3.99089	3.06862	3.99089	3.99762	4.16871	4.0277	3.92494	3.59961	3.96402	4.19932	3.9956	3.87656	3.65283	4.19589	4.13853	3.94328	3.89915
SFRS11	4.07958	4.59625	3.93921	3.86303	4.11471	3.73559	3.71386	3.97632	4.01054	3.95001	3.81688	4.07288	3.75451	3.92815	3.80148	3.71778	3.80293
DAZAP2	4.09493	2.8735	3.77601	3.99256	3.94744	3.96402	3.86365	3.94435	4.11471	4.11953	3.94795	4.22849	3.70034	4.0878	4.03303	3.85579	4.00137
OXCT1	4.03172	2.78894	3.84103	4.1392	3.06175	4.16445	4.24222	4.14376	4.22223	4.0124	4.09067	3.99183	3.18511	3.99183	3.75366	4.16297	3.86242
LPHN3	4.06586	3.74477	4.05074	3.92355	4.01483	3.93747	4.03078	3.99988	3.86188	3.91914	3.93539	3.89205	3.9157	3.89523	3.90826	3.96902	4.02932
MPP6	3.8654	3.16946	4.02107	4.0043	4.14969	4.15651	3.89455	3.98352	4.04247	4.03172	4.02426	3.88486	3.79006	3.84616	4.02338	3.93986	3.97319
ZEB2	3.96587	4.14614	3.84233	3.70866	4.43295	3.42838	3.82364	3.73082	3.98831	3.8063	3.84713	4.20637	4.05593	4.03879	4.18233	3.59552	4.00855
C7orf59	3.75541	3.7922	3.88678	3.78839	3.88737	4.2804	4.05749	3.92688	3.80578	3.91195	3.85764	3.97691	3.75756	3.97319	4.14614	4.07701	4.05268
RPH3A	4.1176	3.98312	4.35262	4.19589	2.21983	3.69772	4.25618	4.09775	3.89455	4.10307	3.90698	3.62092	2.58342	3.81688	4.14113	4.19932	3.73507
AMFR	3.96755	3.27596	3.7605	3.91771	4.08847	3.94049	4.0027	4.09214	3.8761	3.96447	4.03239	3.93192	4.08028	3.95001	3.93291	4.04247	4.01569
BHLHB3	3.92494	3.96818	3.90892	4.25396	4.24117	3.64441	3.28466	3.55149	3.97187	3.90428	4.01639	3.90487	4.47167	3.95941	4.04507	3.70034	3.90428
CRBN	4.0403	3.83645	3.87523	3.86943	3.89115	4.02848	4.01782	3.93539	4.06503	4.12122	3.96755	3.99018	3.59307	3.91652	3.93362	3.96078	3.88118
RANBP3L	3.92302	3.04326	4.07779	3.90244	4.70729	3.53126	3.62939	3.89275	3.52812	3.86785	4.05896	4.019	4.26908	3.81094	3.93539	3.46034	4.39424
C1QBP	4.06503	3.28974	3.87407	4.09021	3.52839	4.08229	3.98754	4.10484	4.10844	3.97469	4.04795	4.03478	3.38681	3.96818	3.93747	4.02338	3.9157
SLC25A18	3.9574	3.69487	4.15127	3.74837	4.66371	3.30273	3.56245	4.12991	3.3403	3.64348	3.85508	4.04247	4.41393	3.66925	4.1527	3.40263	4.23463
INA	4.03686	3.6764	4.00855	4.12271	2.1687	4.16358	4.10002	4.15574	4.11395	4.13124	4.20422	3.6567	2.66071	3.9842	3.85951	4.1239	3.83967
ATP6V0C	3.98691	3.53324	4.18393	3.92265	3.39041	4.07643	3.97152	4.04795	3.53635	3.67718	3.84553	4.04507	3.54277	4.09067	4.3967	3.79752	4.20097
SNORD115_26	3.83851	4.56951	4.33183	3.99694	3.2	3.28086	3.80522	4.12647	3.74888	3.84506	3.97972	3.77258	3.80902	3.69952	3.79544	4.05327	4.25994
GOLGA8B	3.69727	5.63958	4.35728	3.50085	4.02608	2.50639	3.3846	3.77556	2.95994	3.8654	3.01157	3.47902	3.36072	3.74837	3.51006	3.52025	3.82118
TCP1	3.85508	2.90487	3.69487	4.09928	3.99361	3.89584	4.17437	3.97807	4.09425	4.12991	4.11528	3.88892	4.08302	3.89388	3.8159	4.00204	3.76076
SSFA2	3.83803	4.43557	4.00361	3.68395	4.56046	3.45163	3.44391	3.5497	3.69119	3.70808	3.81242	4.04196	4.45958	3.83322	3.96587	3.79544	4.06099
ARL8B	4.06099	2.70081	3.94865	3.85823	3.62299	4.20256	3.99256	3.99297	4.15425	4.11318	4.16002	4.02001	3.46231	4.05466	3.88288	3.97691	3.76674
TKT	3.75234	3.66094	3.91839	4.07643	4.10484	3.88331	3.78726	3.74568	3.77455	3.53014	4.04928	3.66824	4.78758	3.86829	3.77258	3.84157	4.02536
SCFD1	4.05822	3.29405	3.96951	3.90093	3.73198	3.86733	4.02338	3.98691	4.15651	4.10639	3.96587	4.09693	3.75329	4.02001	3.91069	3.92747	3.74061
PKP4	3.76547	4.06187	3.81294	3.96123	4.65431	3.24886	3.81448	3.55238	3.75451	3.41486	4.07437	3.92302	4.79459	3.86134	3.78726	3.43384	3.72675
GLUD2	3.90487	3.11273	3.98691	3.75329	4.02001	3.88184	4.06044	4.02608	3.8534	3.83426	3.82451	4.06951	3.60894	3.98352	4.2308	4.00573	4.21322
SLC8A1	3.91308	3.3057	3.90826	3.98943	2.86385	4.37208	4.22529	4.1399	4.04682	4.01639	4.08576	3.75234	3.26055	3.77011	3.82837	4.21677	3.84776
TUBA1C	3.92035	2.94905	4.08962	4.06951	3.75701	2.5163	4.17882	3.81158	4.21549	3.78575	4.36136	4.20887	3.87212	4.20887	3.76197	3.78575	3.94049
ITPK1	3.91373	3.88331	3.88737	4.03949	4.16961	3.54785	3.84656	3.85823	3.74411	3.61786	3.94603	3.8843	4.38065	3.81213	4.04458	3.83426	4.19787
TMEM165	4.17973	3.76473	3.55072	3.76828	4.62714	3.34868	3.44667	3.50681	3.91487	3.76115	4.1808	4.23903	4.4434	3.89275	3.78966	3.55992	3.99627
COPB2	3.99844	3.22151	3.84821	4.0071	4.01719	4.07185	3.95987	3.85698	4.04304	3.99988	4.11843	4.03879	3.84776	3.96659	3.79923	3.95001	3.8149
CAPZB	3.87175	4.07958	4.02932	3.77258	3.95052	3.9842	3.91308	3.86303	3.77807	3.9492	3.88001	4.04928	3.72276	4.07369	4.03823	3.79797	3.96951
PSMB6	4.1239	2.92726	3.66925	4.14212	3.72584	4.1467	4.16165	4.03557	3.91308	4.00137	4.09425	3.88001	3.59697	3.90986	4.0043	4.04578	3.6764
PRUNE2	4.12471	4.3903	3.65436	3.90574	4.05685	3.67128	3.79544	3.85463	4.02932	3.77847	4.02193	3.97377	4.07701	3.85764	3.85406	3.72774	3.87552
SNORA48	2.30159	2.57223	2.12644	2.35276	2.81532	5.46614	4.6297	4.1271	1.85383	2.44136	2.58058	2.87325	2.39517	2.17412	4.88364	4.6297	4.54533
AATK	3.57724	5.21133	3.67193	3.79797	4.13795	2.83132	3.53456	3.58859	3.58755	3.48078	3.78284	3.94482	3.98031	3.90428	4.15798	3.43132	4.01374
ASAH1	3.89634	3.2054	3.74529	3.89455	3.8178	3.98754	3.86687	3.91652	4.17329	4.12271	3.97187	4.11593	3.60601	4.04578	4.09425	3.86055	3.97691
HMGN3	3.95179	4.49699	4.10002	4.14065	4.18305	3.59623	3.56682	3.62737	3.88786	3.85508	3.83851	3.9842	3.93986	3.98831	3.75199	3.6257	3.94328
VPS41	3.90767	3.58929	3.78787	3.97319	3.57002	4.00929	4.13795	4.05074	4.10753	4.08508	3.95617	3.86997	3.76309	3.89956	3.75451	4.12647	3.75585
VTI1B	3.83477	3.71849	3.86733	4.02536	4.02468	3.70713	4.05011	4.0027	3.89275	3.92747	4.04682	3.88678	4.32384	3.77976	3.77117	3.9574	3.79797
TCEAL7	4.01054	3.52729	3.81094	3.89731	3.2705	4.12647	4.20887	4.10181	4.25555	4.0043	3.86242	3.87922	3.35048	4.03417	3.90205	3.93747	3.75842
EIF3G	3.90932	3.72721	3.71113	4.12197	4.00137	4.01374	3.86909	3.8432	3.96659	3.80096	3.92636	3.85406	4.17329	3.88246	4.05525	3.87445	3.92946
TTC1	3.92894	3.44976	3.90011	4.06724	3.80794	3.87922	4.00537	4.04578	4.03041	4.04304	3.98881	3.89523	3.76746	3.89584	3.93043	4.0027	3.8063
PSMD7	3.97319	3.61122	3.82498	4.08436	3.62737	3.94139	4.03557	4.03366	4.10574	4.05183	3.95552	3.96078	3.63335	4.01002	3.72813	3.98239	3.75756
MLLT11	4.0811	2.8295	3.9157	4.07055	2.27555	4.07534	4.32042	4.18558	4.20422	4.17882	4.0043	3.88331	2.71731	3.92894	3.73155	4.08178	3.77181
BAIAP3	3.72445	4.6529	4.29091	4.18393	2.44903	3.64109	3.8159	4.05896	3.48045	3.56754	3.60627	3.55357	4.04637	3.70713	4.23463	3.92998	4.22458
TPM1	3.82451	4.27403	3.95275	3.81094	4.26599	3.84971	3.82221	4.04637	3.85698	3.87966	3.76442	3.78081	3.85463	3.90361	3.90932	3.95617	3.82451
ENTPD6	3.96246	3.69004	3.903	4.07369	3.48045	4.1392	4.00137	4.18622	3.80293	3.95275	3.77976	3.77087	3.71305	3.83967	3.95121	4.109	3.89523
C12orf57	3.93862	3.03259	3.77889	3.9349	3.72193	4.47071	4.20422	3.94049	3.77304	4.03366	3.8149	3.80522	3.71612	3.74193	4.1176	4.01782	3.79854
MAPRE3	3.93406	3.83851	4.1467	3.93747	3.18655	3.87523	3.95617	4.08649	3.86448	3.97084	3.99844	3.91839	3.46759	4.02932	3.92494	3.94139	3.98881
AMD1	4.10639	2.64446	3.6427	3.92747	3.98691	4.01639	3.85698	3.88678	4.13403	4.0027	4.16096	4.10753	3.48533	3.97152	3.88925	3.95052	3.963
PRNPIP	3.93747	3.16825	3.93192	3.99627	3.86997	3.7922	4.07958	4.03686	3.90629	3.92147	3.86496	3.97807	3.94795	3.93747	3.95552	4.01306	3.96755
NDUFA3	3.94049	3.64877	3.91771	4.12122	3.08221	4.08178	4.20181	4.08888	3.8306	3.60075	3.96818	3.87523	3.71987	3.93406	4.07125	4.03478	3.78183
RAB11A	4.00929	2.78337	3.71457	3.90767	3.79044	4.05685	4.1234	4.03478	4.05327	4.1399	3.84821	3.96587	3.17009	4.03239	4.00361	4.05011	3.84157
NISCH	3.7772	4.40917	4.09493	4.01946	3.71049	3.86687	3.67592	3.86617	3.59446	3.71049	3.96447	3.74094	4.20523	3.73082	3.78575	4.019	4.06187
PPM2C	4.07779	2.6774	3.82317	3.75199	2.82567	4.33941	4.18722	4.25396	4.01002	4.2122	3.94267	3.80493	2.8298	3.75756	3.85242	4.21105	3.87966
ADAM23	3.86733	3.80293	3.89059	4.06816	2.81668	3.80578	4.08436	4.10574	4.17437	4.15651	4.00204	3.75167	3.45783	4.09214	3.66007	4.02662	3.74633
HIPK3	3.87552	2.96268	3.90244	3.80357	4.46165	3.95275	3.73831	3.79274	3.73945	3.87058	3.85463	3.98581	4.27671	3.90011	3.88969	3.93362	4.02193
NDUFS8	3.84396	3.38237	3.76277	4.18828	3.67067	4.00647	4.11593	4.05268	3.7969	3.70866	4.10378	3.78614	3.75627	3.95552	3.98077	3.98352	3.94215
HOPX	4.18622	2.95371	3.89115	3.62737	3.39465	4.5981	3.92636	4.31928	3.24744	4.00204	3.82317	3.58057	3.50468	3.92557	4.03239	4.24297	3.67798
GRAMD3	3.81022	3.40263	4.02338	3.78284	4.37702	3.48569	3.61549	3.50162	3.65828	3.82262	3.95487	4.14821	4.53535	3.85863	3.93921	3.73298	4.12055
