id	C3_raw	C4_raw	C7_raw	C8_raw	A9_raw	A10_raw	A11_raw	A12_raw	A14_raw	A15_raw
KRT15	5	0	2	2	0	3	4	3	0	3
KRT16	2	0	0	3	0	0	2	6	0	5
KRT17	106	460.9855537	387.5989583	294.9114054	127.9534884	114.8809604	127.9491856	270.1024986	111.9318616	213.9290102
KRT18	5	7	9	6	2	7	5	14	2	10
KRT19	19	28	5	42	10	18	20	18	14	13
KRT31	7	23	52	44	7	19	15	37	20	31
KRT32	0	0	1	0	1	0	2	2	0	3
KRT33A	0	0	3	0	0	0	2	0	0	1
KRT33B	3	6	6	4	0	0	1	7	0	3
KRT35	0	0	3	0	0	0	0	0	0	0
KRT81	10	6	20	37	6	50	9	47	24	16
KRT82	0	3	1	0	3	1	2	0	0	6
KRT83	7	16	11	11	10	17	1	7	16	34
KRT84	4	1	7	2	0	2	1	0	0	0
KRT85	0	1	0	0	2	3	0	3	3	3
KRT86	45	26	51	30	21	54	14	44	39	39
KTN1	7069.476873	14700.6935	13889.71552	9775.073529	9724.355335	8317.782613	13221.21462	14492.76323	13143.07522	12243.38212
L1CAM	3638.133051	6627.956169	8522.9325	6344.15367	3912.048588	3724.968912	5476	4681	5697.993056	5052.633508
LAD1	0	0	0	3	1	0	0	1	0	1
AFF3	2528	3891	2937	2627	1828	2052.043459	3010.749903	2299	2627	2663
LAG3	4	5	5	0	1	3	8	3	4	8
LAIR1	46	142	62	82	79	133	208	283	129	173
LAIR2	2	4	3	11	3	13	23	7	22	5
LAMA2	2260	3572	2710	3367	2652	2358	3513	4230	2849	3077
LAMA3	619	1068	850.0159287	505	453	477	817.0318882	764	913	808
LAMA4	745	907	1427.02582	874	952	938	931	1468	1500	1158
LAMA5	1695	2348	1442	1555	725	1026	1861	1894	2075	1603
LAMB1	1089	1348	1874.033676	1738	1000	1375	977	1400	1387	1512
LAMB2	918	1684	1345	920	807	832	1554	1496	1508	1642
LAMB3	73	184	299	114	98	97	158	131	156	193
LAMC1	806	1187	1274	936	843	827	1244	1127	1413	1107
LAMP1	1567.277949	3330.10161	3537.936292	2753.459232	2616.126428	2080.992337	3138.736278	3571.329921	3797	3550.844964
LAMC2	10	15	9	47	15	23	19	16	27	2
LAMP2	4566.755397	12589.03337	11492.43649	8051.638554	13028.65307	8136.738006	13327.00777	15732.18988	14858.63449	11147.79861
RPSA	152	305	461.4641515	290.4575117	277	210	273	365.0031693	336.592394	332
STMN1	6640	12466	21681	11846	10720	9576	10387	12366	14109	10859
LASP1	1444	2242	3339.121629	1949.067253	1352	1391	1894.071506	1903	2274.269383	2154
LBP	1	2	0	4	1	0	0	2	0	1
LBR	359	709	803	503	715	565	768.0225916	847	907	712
LCAT	75	95	121	68	81	64	116	154	156	151
LCK	0	3	3	2	5	3	7	6	3	6
LCN1	0	0	15	1	4	3	0	7	5	0
LCN2	0	0	0	0	0	0	1	0	0	0
LCP1	146	679	202.0114237	358	307	425	569	693	406	378
LCP2	166	290	249	280	153	196	346	343	289.0157319	175
LCT	14	9	13	8	5	7	20	13	16	7
LDHA	1631.188494	4200.301073	5655.645084	3039.830455	3344.394188	4494.948397	2944.202345	2985.344276	3917.60565	3008.17075
LDHB	4686	10028	13720	9420	8127	6571	8089	8569	11270	8198
LDHC	44	110	55	16	97	91	93	64	116	5
LDLR	398	1009	708.599533	381	706.9733333	248	1022	876	1129	691.0400714
LECT2	1	2	2	0	1	1	0	1	0	2
LEP	5	7	3	7	3	3	3	4	8	3
LEPR	484	580	735	366	534	565	613	570	860	822
LETM1	1129	1808	2149	1508	1107	885	1548	1562	1612	1432
LFNG	189	194	218	399	156	164	177	391	291	394
LGALS1	652.0872905	1405.065081	2314.245632	1290.073998	794.326394	560.3650473	1126	1112.288984	1075.173523	1578.140035
LGALS2	4	20	3	11	7	7	14	28	23	8
LGALS3	301	516	495	437	344	515.9775281	275	491	1024	869
LGALS3BP	445	1233.195647	1250	730.9333311	715	762	1103	1322.097394	1452	1503
LGALS4	9	15	1	10	14	51	16	15	18	8
LGALS8	1106.991071	1882	2495.9305	1411	1514.173074	1470.269793	1707.994253	1603.17006	2049.994751	1447.637095
LGALS9	60	120	51	60	66	97	74	209	134	159
LHB	8	13	13	8	1	3	22	6	4	4
LHCGR	1	20	3	2	9	9	14	14	4	17
LHX1	2	1	0	2	0	2	0	2	0	3
LIF	1	4	0	1	7	0	1	6	8	3
LIFR	5999	10233	10504	10067	9369	8234	12474	15707	10895	12154
LIG1	402.0111497	759.0031197	774	577.7068671	449.0221372	349.7119138	461	751	811	821.7452711
LIG3	760	1307	1469	868	848	771	928	1153	1090	928
LIG4	446	947	1368	873	881	634	958	807	961	795
ABLIM1	4564.926863	6505.000608	8023.065912	6559.037749	5159.945597	5161.000145	7792.98087	7526.918271	8966	7445.02866
LIMK1	1676	2980	4660.020225	3246	1946	1786	2398.123329	2244	2946	2981
LIMK2	515	845	799	577.8503987	603	681	747.8349374	1295	1624.046651	779
LIMS1	156	234	299	260	226.7142857	216	224	432	397.8	300
LIPA	766	2762	2818.976273	1325	2509	1618	3076	2797	2711	2423.970688
LIPC	13	36	18	19	10	28	23	17	38	25
LIPE	269	790	588	411	428	354	682	744	837	642
FADS1	1502	3061	3766	2277	3824	2433	2395	4356	4537	3221
LLGL2	101	273	174	84	169	77	236	192	210	216
FADS3	565	899	905	735	532	560	517	839	963	881
LLGL1	1369	3400	3704.630046	1927	2471.764002	1689.869565	3004.979058	3978.848101	3938	4056.704325
LMAN1	740.02838	1472	1781	1187.038956	1317	1277.048285	1510	1823.059164	1789	1487.863653
LMNA	518	1248	1102	847	731	687	888	1450	1534	1352
LMNB1	190	268	324	196	205	213	198	277	315	216
LMO1	18	40	52	20	19	8	15	25	34	43
LMO2	148	174	341	184	140	220	208	430	511	329
PRICKLE3	18	41	23	13	21	18	37	30	32	30
LMO7	2530.145782	3901.955276	5175.210291	3655.000533	2914.959911	2642	2771	3081.085234	3720.463739	2788.061457
LMX1B	5	6	3	2	2	6	1	5	5	5
LNPEP	1898	3818	5555	3403	3668	3043	3876	3737	4047	3286
VWA5A	336	702	1016	525	722	673	625	744	1178	889
LOR	2	1	12	0	3	2	0	1	0	3
LOX	18	33.18080342	27	29	28	23	37	38	24	24
LOXL1	17	29	39	23	12	9	30	27	29	26
LOXL2	86	103	74	109	95	50	127	156	147	107
LPA	95	64	103	112	42	44	50	74	117	104
LPL	603	1161	931	710	772	1296	933	820	514	752
LPO	0	0	3	13	2	3	2	1	2	10
LPP	796	885	1118	1046	848	890	1068	1492	1217	1263
LRMP	381	852.8444649	1369	832.70535	651.7259614	657	571.907394	655	597	669
LRCH4	554	998	576.6582278	406.005102	377	274.6697737	656.6601942	662.9064712	592	601
LRP1	18346	27902	34919	24543	16441	16976.18747	24417	25990	28047	27852
LRP2	2509.014655	8573	3494	3040.008551	5730	3278.020277	11226	8546	5261.066931	4637.106378
LRP3	572	954	1045	757	367	340	672	636	622	739
LRP4	3972	8918	5550	5385	3226	3110	8575	7291	4645	4641
LRP6	2042	3715	4253	3357	2885.004929	2470.974684	3112.976744	4111	3904	3676
LRP5	174	363	358	186	117	113	353	264	257	277
LRPAP1	1628.067844	3252	4933.331637	3538.005515	1812.97211	2176.961812	2460.072815	2873.524698	2835	3096.962918
LSAMP	2034	4088	4737	3655	2614	2445	3290	3498	3810	3164
LSP1	26	39	41	27	24	25	19	80	63	94
LSS	1641.010921	5366.88654	2999.613632	1769.061743	2907.777812	1602	3500.015869	3077.206985	3486	3334.492321
LTA4H	828	1923	2193	1285	1453	1289	1441	1598	1771	1383
LTA	0	5	0	0	0	0	1	1	1	0
LTB	4	12	6	8	3	9	4	8	6	13
CYP4F3	6	111	84	86	23	100	39	205	84	72
LTBP1	480	514	918	658.0080614	661	716.0083968	772.0456899	1439.023229	1447	926
LTBP2	106	249	266	312	158	112	287	348	263	271
LTBP3	1947	2852	2239.011268	1929.817001	1309.031434	1464.015954	2339	2662.010553	2822	2566
LTBR	67	186	79	116	38	101	123	167	222	136.4836564
LTF	9	13	6	10	17	4	26	270	28	34
LTK	80	121.0013636	103	144	36	37	64	86	64	107
BCAM	256	386	502	254	168	164	346	332	332	471
LUM	8	18	35	10	18	9	18	26	36	22
LY6E	703.9337347	1237.472737	1976.245432	1337	687.2405674	613.2820141	927.9979466	986	1016	1378
LY6H	823	1418	1431	1316	805	723	871	1021	978	1160
LY9	1	1	1	1	0	0	0	0	1	5
CD180	11	31	14	18	14	33	41	62	12	27
LY75	128	139	152	161	150	212	231	328	297	259
LYL1	23	40	23	25	34	21	59	81	57	60
LYN	159	275	310	220	171	250	306	424	370	353
SH2D1A	4	4	4	6	5	1	3	10	5	13
LYZ	20	31	36	26	59	102	45	61	29	88
TM4SF1	135	384	254	99	136	183	232	478	377	239
TACSTD1	29	37	42	21	16	47	24	36	60	30
M6PR	913	1602.214944	2196.0351	1546.060677	1302	1349.021631	1307.415432	1601	1809.984085	1607.934666
CAPRIN1	4426	9038	11107.32531	7103.164465	6829.507937	5856.271115	7578.304994	7550.941786	8952.996161	6895.428395
NBR1	2616	5548	7073.942569	4089	4426.94996	3924	4688	5027.928753	6029	5081
MAB21L1	58	75	90	55	45	55	75	89	97	68
MARCKS	2000	2390	6042	3480	2861	3148	2798	4355	3962	4327
MXD1	500	816	999	665	706	576	769	891	966	711
MAD2L1	29	66	157.3413961	66	71	74.01460373	46	60	81	64
SMAD1	278	517	741	504	499	412	372	712	732	564
SMAD2	1809	3075.319229	4416.457941	3340.909265	2869.999644	2716.484082	3062.400053	3767.396738	3737.644773	3491.287146
SMAD3	793	1003	1884	1251	830	803	868	1110	1673	1237
SMAD4	1307	2373	2999	2070	1970	1692	2445	2716	2397	2264
SMAD5	954	1551	2349	1511.005635	1616	1375	1656	2114	2241	2049.351919
SMAD6	112	198	70	64	68	94	123	179	159	128
SMAD7	195	414	509	263	307	316	380	355	321	433
SMAD9	186	407	316	326.1072878	329.7	355	412	478.0027418	427	447
MAF	421	669	1093	732	680	657	873	733	751	931
MAFG	613	948	1726	1028	692	735	1014	1008	877	1034
MAG	1782	5008	6245.908596	3631.974277	5316	3933	4972	6835	9047	8707.947027
MAGEA8	6	7	1	3	4	3	6	8	5	2
MAGEA12	3	1	4	2	2	3	7	3	4	1
MAGOH	136	239	313.170921	217.7953944	173	146	224.454961	228	299	252.3608322
MAK	251	296	236	95	169	151	273	334	298	215
MAL	432	1407.716193	1364.977978	706	1301.069598	915.1338795	988.0837443	1593.476894	2093.498781	1717.637064
MAN1A1	508	845	1540	1044	543	741	965	731	756	876
MAN2A2	3137	6926.313519	6006.460891	4678.141174	4608.185534	3540	6559.977886	5683.067075	6015.42641	5099
MAN2C1	1699.322395	2774.401549	2375	1963.944088	1556.003753	1167	1953.272463	2250.00359	2286.836303	2234.29754
MAN2A1	3961	9044	8955	4929	7814	4937	11736	14921	10307	9999
MAN2B1	317	886.0377113	679	544.7346712	454.7425167	414	607	722.9213025	699	770
MANBA	445	1117	1211.064948	680	638	809	797	883	1102	1006.075161
MAOA	1208	1750	1829	1648	1138	1277	1549	2087	1997	1794
MAOB	1315	2227	2674.035083	1946	1827	2341	1961	3042	4218	2718.016172
MAP1A	29562	47867	61069	45829	32693	28655	42251	37038	46999	38894
MAP1B	47757	87783	132431	93310	78158	74453	82306	69230	88574	70002
MAP2	18264	31799	50831.00565	34943.00093	23409.00335	23407.00301	26917	25585	27643.00261	24707.00541
MAP4	7367.002214	13300.56977	19905.35186	11088.12016	9279.300263	8947.682782	12428.04728	13976.66533	13840.25447	12694.23083
MAP6	1187	2204	2769	1804	1444	1303	1757	1820	1783	1713
MAPT	6577.336955	10466.26627	14484.0266	9267.007823	6748.757672	5949.930924	8466.286952	8679.535725	10603.65303	9244.693701
MARK1	1227.96806	2019.698566	3363.709927	1779.860507	1615.980952	1438.940299	1590	1578.025607	1890.963636	1728.771664
MARK3	2391.938256	4269.404052	4288.771883	2589.16254	2706.52189	2592	3389.35311	3929.485787	3957.383283	3079.623187
MARS	1788	3508.091376	4240.548055	2519.781602	2197.100423	1807	2393.892583	2477	2935.663428	2111.628297
MAS1	66	142	256	93	109	69	57	78	109	98
MAT1A	1	5	4	12	1	6	2	2	11	6
MAT2A	2941.50806	4847.600918	5422.989377	4214.946582	3956.827139	3657.090738	5308	6319.582918	4959.972696	5009.689847
MATK	669	1307	1758	1096	620	606	847	735	997	1065
MATN1	26	68	42	38	55	32	46	54	44	64
MATN2	470	835.0544831	1245	699.4712231	870	510.9428571	797.0180252	1220.048997	1299	1270.497181
MATN3	58	38	48	59	50	43	35	121	72	79
MAX	601.4058982	1151.919797	1173.759919	812.3748498	701.3758631	732.4473494	883.4864174	1033.083088	897.4617482	986.9500706
MAZ	590	1365	1794	1017	724	705	844	918	965	991
MB	0	1	10	5	2	2	4	2	6	4
MBD1	926.7075972	1631.13365	1791.179041	1237.55657	947.9636364	798.0094245	1181.496899	1240.031762	1301.022081	1284.326337
MBNL1	2349	4827.660232	5692.323936	3539.828493	3920.775132	3106.161607	4118.108468	4314.857214	4765.099128	3916.77551
MBP	36193.41658	74963.76271	109963.7148	37490.33014	55211.75083	35867.70108	69729.96306	103631.3025	88754.97967	84847.93698
MC1R	37	74	58	31	31	50	59	56	64	62
MC3R	1	2	3	1	1	0	0	0	0	0
MC4R	19	85	43	29	56	31	64	41	43	13
MC5R	1	3	0	0	1	0	5	3	0	1
MCAM	734	1292	1841.926613	1775.554914	1183.925587	1059.079505	1096.978495	1857.948276	2267	2049
MCC	917	1373.889771	1514	1024.719966	995.0075453	990	1170	1186	1558	1628
CHST6	223	513	376	271	255	220	422	776	886	498
MCF2	500	1164	1699.002337	1071	1087	839.5416667	1022	774	1132	716.3852233
MCL1	1206	1589	1920	1727	1211	1473.959416	1712	2594	2198	2177
MCM2	161	233	366	237	235	249	150	203	356	386
MCM3	398	690.8036855	768	555	538	508	539	727	867.8801393	678
MCM4	723	1461	1804.241911	1339	1035.023977	1060	936	1125	1487	1260
MCM5	136	360	304.0379814	198.0054486	278	291	287.9230769	385	417	551
MCM6	328	707	1255.043259	842	843	789	699	683	1046.885552	674
MCM7	402	1031	1140	592	701	513	942	1210	711	858
CD46	1249.794394	2285.032804	2832.442556	2405.444595	2024.939542	2103.703871	2118.747853	3541.533799	3252.798477	2124.292477
ADAM11	1951.814219	2798.929825	4847.010318	3306.293018	1954.661972	1590	1922.971014	2036.862069	2770	2295.796938
MDFI	16	10	23	5	25	11	13	34	18	29
DNAJB9	366	600	1359	864	725	662	690	790	959	887
MDH1	5864.490174	13362.94539	25826.01194	15969.02289	13441.58808	11495.89659	10910.38915	10287.19054	14708.36501	10940.49292
MDH2	1715.233293	3546	4890.719206	3021.288153	2537.326176	2055.232912	2542.022777	2604.042179	3661	2835.172627
MDK	85	62	76.00511348	51	47	87	41	83	130	165
MDM2	721	1259	1591	1104	1096	923	1276.963736	1458	1637	1170
MDM4	1112.905773	1663.002561	1655.529222	1072.00501	1223.033814	1186.848061	1326.324787	1817.957479	1936.015183	1659.666734
MDS1	1	4	2	2	2	3	9	4	4	0
ME1	751	1307.16365	1828.853088	1193.035861	1155	897	1049.066476	1214	1236.034989	1153
ME2	1077.916092	1272.587952	2171	1520.010464	1255	1107.864868	1415	1851	1801.907748	1609.889504
MEA1	294	832	1286	677	607	523	598	507	677	603
MECP2	2444	3880	4743.003216	3460	2616	2815	3238	3480	3962	3568
MEF2A	1622.012495	2685.347093	3884.374638	3098.222761	2414.634839	2091.207866	2341.71884	2559.323086	3461.923988	2548.735192
MEF2B	149	236	400	267	125	136	242	222	282	319.7532774
MEF2C	6004.990715	12557.9865	19895.98834	14760.94085	9400.979285	9596.971182	8816.992307	9493.990215	11056	9057.995548
MEF2D	1730	2713	3798.856828	2871.766576	1839	1989	2102	2475	3168.056899	2777
MEFV	11	36	36	53	14	19	34	27	20	40
MEIS1	149	333.9697305	349.0049128	187	236	172	354.0595875	437.7886092	469	293
MEIS2	876.8751766	1550.844633	1694.079546	985.4086696	929	851	1040.891892	1226.070122	1500.745714	1151.330077
MEIS3P1	122	188	287	238	60	94	100	236	163	173
MAP3K1	445	705	1050	570	588	562	650	937	812	859
MAP3K3	590	1182	1080	948.0168421	653	571	916	1008	965	1011
MAP3K4	1654	3038	3450	2101	1953	1762	2114	2516	2621	2375
MAP3K5	3198.063066	5127.815995	6378.084529	4424.036314	3517	3739.91692	4511.940741	5246.177116	5487.045601	4584.567692
RAB8A	149	419	349	225	154	227	222	272	400	274
MEN1	341	613	578	393	323	273	415	475	517	500
MEOX1	14	9	3	3	13	2	6	19	19	11
MEOX2	7	37	11	12	18	12	19	12	21	11
MEP1A	3	9	0	6	0	3	9	12	0	8
MEP1B	51	60	44	61	61	66	52	91	64	54
MEST	1454.949142	2274.83381	4474.679134	2935	2454.891495	2530.046991	2255.952036	2357.951298	3009.294052	2009.842912
MET	592	955	2488.515249	1082.672253	1589	974.023824	1026	706	634	807
METTL1	22	38	87	29	24	14	38	38	47	41
MFAP1	351	723	820	519	482	384	496	537	593	551
MFAP2	6	0	8	5	0	0	13	4	3	3
MFAP3	326	674	882	482	513	428	599	598	626	449
MFAP4	51	89	88	89	76	86	77	121	77	130
MFGE8	586	880	1094.985854	666.983754	363.0198883	358.7090909	1069	487	737	1468
MFI2	82	149	149	106	82	50	119	91	173	133
MFNG	44	79	47.56408382	35	37.00354183	44	64	71	74	89
MGAT1	453	708	778	576	420	464	643	673	694	770
MGAT2	115	191	421	277	196	192	195	282	326	268
MGAT3	1277	1984	2843	1939	1280	1076	1735	1474	2030	1818
MGAT5	1249	2876	3418	2131	2192	1752	2547	2175	2743	1847
CTAGE5	915.0207224	1323.987501	1227.787587	840.0189339	1193.888682	932.9170065	1213.905387	1499.457327	1407.614248	1032.952686
KITLG	894	1236.826884	2429.922386	2136.068297	1426.539373	1646.934283	1567.699081	1274.018401	1200.974815	1181.02371
MGMT	128	256	208	173	151	176	127	235	294	232
MGP	62	114	143	170	84	282	131	495	172	179
MGST1	305.1125352	525.1558604	500.8892933	284	413	352.0568789	401.9111444	680.1675701	882.2021619	561.1731671
MGST2	93	161	170	119	97	155	143	159	181	170
MGST3	1149.211012	3255.786534	4717.374772	2505.68525	2170.926564	2160.935058	1932.884316	2349.913218	2875.943765	2419.941956
CIITA	71	171	108	101	92	158	157	183	194	278
CD99	29	23	4	15	7	25	14	10	21	9
MICA	68	160	74	92	29	73	100	117	195	148
MICB	34	23	17	24	20	19	27	30	49	34
MID1	337	471	530	472	324	242.0031926	459	512.8101838	427	414
MIF	201	666	646	481	296	328	335	456	465	449
CXCL9	0	0	6	4	5	2	0	11	3	13
MIP	0	3	12	5	2	2	3	5	2	8
MIPEP	372	532	815	517	390	457	435	646	753	555
MITF	198	382	339	270	287	225	499	489	354	348
ATXN3	840	1172.144312	2252.881449	1280.945642	1262.848175	1164.148401	1416.941242	1206.834254	1534.981771	1403.91355
MKI67	10	9	9	9	1	18	4	8	28	15
MKLN1	4825.975803	8321.941469	8980.936321	7387.971397	6747.182679	6495.920671	8419.232069	9107	8272.212276	7403.993976
MLF1	250	405.097715	754	467.7079952	471	430	333.0881965	466.1006697	544.0715657	502
MLH1	937.1956365	1263.83822	1632.493289	1066.905198	1086.168968	1018.601665	1170.835583	1517.028605	1504.836143	1542.944258
MAP3K9	1116	1890.76506	2611	1839.865323	1228	1150.863636	1431.667555	1233	1553.929412	1379
MAP3K10	1382	2482.142196	2710.040114	1985.111935	982	891.021658	1665	1691	1865.046739	2300
MLN	5	1	3	2	5	9	5	5	5	3
MAP3K11	376	838	747	406	419	318	676	798	797	938
MLL	6350	10142.22296	11191.95216	7914	7398.9875	6779	8562.137653	9516.99005	10560.07084	9327
MLLT1	1147	1768	1660	1095	720	803	1344	1155	1525	1945
AFF1	1802	2594.040107	2232.800101	1825	1690	1624	2471	2853	2927	2327
MLLT3	763	1403	1686	977	919	763	1199	1132	1197	1067
MLLT4	3625	6146	6906	4713	3980	4346	4992	6465	5779	5212
MLLT6	3807	4866	5239.106075	3814	2525	2715	3844	4031	5083	5063
FOXO4	376	1024	1018	450	532	312	890	920	538	736
NR3C2	1040	1914	2601	1691	1586	1428	1667	1406	1809	1698
TRPM1	9	13	17	1	12	10	0	2	5	20
MME	56	51	152	87	39	78	48	67	51	61
MMP2	20	59	55	54	64	51	85	82	57	115
MMP3	2	1	0	3	9	0	27	4	4	2
MMP7	0	0	0	0	0	0	0	2	0	0
MMP8	0	4	1	0	0	0	2	1	0	1
MMP9	14	32	7	9	3	32	16	12	4	9
MMP10	2	0	0	0	0	0	4	0	0	2
MMP11	6	16	14	4	4	8	9	8	20	15
MMP12	0	0	2	1	0	0	0	0	0	1
MMP13	0	0	0	0	0	0	0	3	1	0
MMP14	82	159	200	112	112	92	173	254	305	178
MMP15	116	255	300	212	163	145	273	270	264	240
MMP16	1402	2318	3522	1914	1721	1637	1766	2305	2421	1986
MMP17	711	768	1050	555	283	316	648	664	502	802
MMP19	91	132	140	73	92	97	120	131	127	142
ALDH6A1	3220.989724	4464.808812	5201.109914	3362.203212	3313.711808	2756	3726.705937	4780.943191	4915.777492	4026.854808
MN1	238	403	429	271	276	255	306	275	356	325
MNAT1	893	1585	1409	870	876	920.9928058	1078.293517	1346	1442	1201
MNDA	44	100	76	60	81	87	58	148	103	69
MNT	539	658	660	576	391	457	465	619	923	749
MOBP	5378	8339.810343	13378.40872	5202.084436	9760	9351	10491.83209	17654.81741	17323.78894	14557.17675
MOCS1	666	1322.34569	1307.199454	814.0138344	845.5149351	691.3684773	1200.425784	1416	1326	1273.529439
MOCS2	475	1240	1781	1104	952	986	1030	1007	1111	844
MOG	1298.990291	3032.074968	3634.159073	1895	3497.949955	2809.954324	4325.003799	4594.958919	5696.12932	4641.014856
MOV10	300	334	366	279	231	241	324	432	428	498
CD200	771	1550	2552	1470	1139.017062	1259	1121	1267	1583	1443
MPG	172	452	588	361	235	219	293	260	348	343
MPI	636.8001889	1049	1531.014575	1023.276087	805	748.014034	974.0234394	921.0048878	1287.001924	966
MPL	17	27	35	33	32	36	34	47	66	46
MPO	19	17	42	55	18	36	3	20	49	58
MPP1	812	1854.108333	2676.055617	1546.922273	1336	1255.016274	1577	1289	1743.251817	1418.94721
MPP2	832.0388314	2061	2601.11807	1813.816084	1278.694858	1075	1545.856877	1569	1816	1797.841447
MPP3	119	249	373	256	226	162	211	254	253	218
MPST	136	436	271	167	141	179	347	346	300	257
MPV17	354.8152393	845.0884433	1062.882583	680.6973238	475.661157	453.5845351	657.1572539	663.6538462	921.8702114	780.8822777
MPZ	26	33	58	54	34	37	60	154	46	103
MRC1	108	219	80	260	115	109	308	163	43	76
MRE11A	665	1083.705634	1273.462905	946	993.9170037	920.9768413	846	1360.986086	1202	1096.556178
ABCC1	493	861	972	638.0272171	502	547	755	760	850	742
MYO1B	941	1416	2567.350265	1655	1163	1319.368073	1341.85613	1194	1780	1223
CITED1	33	45	97	76	37	44	29	43	63	55
MSH2	1429	2310.004121	3348	2147.631844	1841.988095	1740.026442	2176.894208	2308	2570.961538	2217
MSH3	1145	2005	2710	1494	1650	1553	1730	2034	2124	2005
MSH4	118	159	178	96	83	40	278	96	39	94
MSH5	105	154	163	171	128	183	101	215	308.005218	216
MSI1	171	208	295	155	129.5149174	162	234	232	266	254
MSN	939	1389.748679	1241	1015	1033.891925	1184	1311.915335	2439	2537.08708	2014.693805
MSR1	59	123	85	95	78	163	150	332	175	254
MSRA	998	1520	1580	1011	816	689	1088	1066	1232	1170
MST1	177	293	229	183	146	140	216	208	217	237
MST1R	21	33	26	18	9	7	37	15	27	28
MSX1	58	74	65	45	17	28	74	61	43	73
MSX2	4	10	16	41	13	12	13	15	24	35
MT1A	41	57	44	43	17	17	86	118	90	71
MT1B	24	46	53	53	13	27	56	60	39	59
MT1E	149	188	139	194	95	155	239	349	195	221
MT1F	232	445	352	202	161	205	452	466	264	538
MT1G	153	430	452	272	172	142	630	325	333	491
MT1H	126	202	288	309	87	161	312	417	331	383
MT1M	243	443	367	291	142	176	514	752	519	364
MT1X	428	590	282	538	240	466	755	1434	1072	512
MT2A	340	658	457	591	195	321	899	945	919	696
MTAP	476	648	802	586	569	503	622	690	814	675
MTCP1	110	178	195	144	185	120	186	176	225	175
MTF1	484	676	708	471	467	462	745	820	764	615
NUDT1	53	83	100	61	88	42	67	114	98	104
MTHFD1	1271	2426.942762	2659.510228	1787.535865	1715.950607	1484.964935	1898.011117	1893.942857	2359.035523	1540
MTHFR	766	1074	1128	817.0003615	656	585	890.0002208	872	1074	1051
MTIF2	557	1551	1501	1101.033697	912.9091723	764	1003.846358	911.0713246	1090.027878	889
MTM1	599	1050	1082	830	822	837.8614966	866.0369062	1317.048943	1365.020688	1119
MYO1F	158	226	139	160	123	250	285	304	316	370
MTNR1A	1	4	8	6	6	3	13	10	7	8
MTNR1B	1	1	3	2	3	1	2	5	5	3
MTTP	26	45	66	38	74	36	69	64	87	80
MTR	3282	4299.739816	5416	4026	3465	3432	3357.108467	5017	5504.046269	4474
MTRR	638	1433.079857	1672.382132	885.7184573	1125.139656	855.021573	1450.365979	1405.063437	1252.243404	1100
MTX1	63	209	212	107	52	94	94	169	134	134
MUC1	3	12	11	7	3	4	11	8	10	8
MUC4	72	93	18	17	28	54	52	55	54	14
MUC5AC	13	13	31	38	13	18	18	26	24	20
MUC6	51	51	14	35	19	23	20	65	40	44
TRIM37	3732.064322	8690.618615	14364.87638	9183.530995	8662.436592	7619.196787	7095.337086	6387.900577	7926.719082	5818.026195
MUSK	24	39	42	47	45	50	31	71	65	76
MUT	830	1850	2244	1327	1416	1233	1632	1707	1835	1458
MUTYH	217	391	388.0003666	230	169.9764706	180	310	372	341	356
MVD	246	497	657	362	283	189	355	430	526	524
MVK	191	408.0151587	410	395	298	246	257	522.96	347	369
MX1	743.0780479	1386.029132	1964.893911	1013.716813	957	919	1033.003456	1286.017206	1634.997592	1936.110025
MX2	40	125	180	46	66	49	93	123	151	112
MXI1	1773.987888	4045.951103	3334.748682	2771.539236	2900.670826	2433.883017	3440.893172	3876.166656	3479.806107	3244.146475
MYB	7	9	17	10	4	10	3	6	18	7
MYBL1	165	308	314	223	349	215	339	356	424	354
MYBPC1	776	1068.713862	1309.466443	1730.444372	1112.783776	1143.173259	1645.856758	1792.063492	1583.880842	1580.783083
MYBL2	3	1	0	2	1	0	3	2	2	6
MYBPC2	24	28	43	13	6	16	8	3	24	19
MYBPC3	2	5	1	4	5	8	5	9	1	8
MYBPH	59	88	62	45	68	26	84	69	83	53
MYC	43	93	50	61	42	61	60	121	91	96
MYCL1	22	45	45	28	22	29	35	43	42	44
MYCN	38	96	105	86	65	44	53	93	89	110
MYD88	34	56	46	51	36	51	69	109	140	66
GADD45B	150	467	201	330	291	268	219	441	299	277
MYF6	0	0	1	0	0	0	0	0	2	0
MYH1	11	31	16	11	17	18	20	22	6	24
MYH2	3	13	5	10	3	6	7	3	9	5
MYH3	158	218	145	181	187	102	159	267	217	187
MYH4	10	11	16	11	9	15	17	12	12	10
MYH6	5	5	7	9	6	9	9	14	23	10
MYH7	70	268	120	167	90	112	121	65	122	132
MYH8	5	3	6	4	1	1	3	0	8	8
MYH9	4554	6306	6167	5038	3368	3804	6467	6855	8126	6586
MYH10	6828.138307	11296.96036	16611.09228	11374.65994	8006.90089	7167.928596	8560.931287	8923.641342	10041.02544	8350.680063
MYH11	520	587	748	707	453	689	921	665	1010.936818	673
MYL1	1	0	3	3	8	1	0	2	1	2
MYL3	35	38	58	72	55	33	36	67	82	100
MYL4	1	3	1	0	0	2	0	0	0	0
MYL5	546	924	1230	875	657	701	700	1059	929	872
MYL6	2038	5014	5742	3497	2979	2791	3931.989846	4712	4795.989929	3879
